term,speech_part,meaning
a,art.,"maysa, umuna a letra ti alfabeto"
abandon,v.,"baybay-an, ibati, licudan"
abdomen,n.,tian
abduct,v.,"itaray, agawen"
abeyance,n.,"panagur-uray, panangteng-ngel"
abide,v.,agtaeng
ability,n.,cabaelan
able,adj.,"napigsa, addan cabaelan, addaan bileg"
abnormal,adj.,naisupadi iti caaduan
aboard,adv.,"nacalugan, nacasacay"
abolish,v.,"iccaten, pucawen"
abortive,n.,naganac a saanna a tiempo
about,"prep., adv.","maipanggep, maipapan"
above,adv.,"ñgato, ngatuen"
abridge,v.,"yababa, gupongen"
abrupt,adj.,"dagus la nga, kellaat"
absent,"adj., v.","awan, saan a simbrec"
absolute,adj.,"macabalin, ti isuamin"
absorb,v.,"sisipen, maicuyog, agsepen"
absurd,adj.,"nacacat-catawa, awan banagna, di rumbeng"
abundance,n.,kinaadu
abuse,,panagsalungasibng
accent,n.,talmeg
accept,v.,"awaten, alen"
accidentally,adv.,"saan a ginagara, di pinanggep"
accomplish,v.,"leppasen, aramiden"
account,v.,"ibilang, sungbatan"
accountant,n.,"magtaming iti libro ti compañia, contador"
accuse,v.,pabasolen
accustom,v.,"ipacadawyan, mairuam, iruam"
ache,v.,sumakit
acidity,n.,"kinaalsem, alsem"
acknowledge,,"bigbigen, awaten"
acompany,v.,"caduaan, cuyogen"
acquaint,v.,"ipaammo, ipacaammo, yammo"
acquire,v.,alaen
across,adv.,"idiay bañgir, ballasiw"
act,v.,"agaramid, gumaraw"
action,n.,"aramad, garaw"
active,adj.,"sabibiag, nagreta"
actress,n.,artista a babai
actual,adj.,"pudno, agpayso"
add,v.,"inayon, pagtiponen"
addition,n.,panangnayon
address,n.,"panagbitla, pagtaengan"
adequate,adj.,"umdas, macaanay"
adjective,n.,"adjectivo, sarita a mangted ti caipapanan ti banag"
adjust,v.,ibagay
admiral,v.,panagdayaw
admire,v.,"dayawen, bigbigen a sidadayaw"
admission,n.,"panagawat, panagpastrec"
admit,v.,"awate, pastreken"
adopt,v.,"taracnen, alaen, panangala a cas cucua"
adore,v.,"dayawen, ayaten"
adult,n.,"lacay, nataengan"
advance,n.,idadarup
advantage,n.,"pagsayaatan, gundaway"
adventurous,adj.,"natured, managpadas"
adverb,n.,adverbo
advertise,v.,"ipaamo, iwarnac"
advertisement,n.,"pacaammo, pannacaiwarnac, pacdaar"
advice,v.,"patigmaan, balacadan"
affair,n.,"banag, aramid"
affidavit,n.,palawag a naisurat ken sinapataan
affiliate,v.,"makicadua, makipagricna"
afford,v.,"panangipaay, pannacabalin a mangted"
afraid,adj.,"agbuteng, maamac"
after,prep.,calpasan
afternoon,n.,malem
afterwards,adv.,"calpasan, no madamdama"
again,adv.,manen
against,prep.,"maisupiat, cabusor"
age,n.,tawen
agency,n.,"agencia, sanga"
agent,n.,"agente, pannacabagi"
agree,v.,cumanong
agreeable,adj.,mannakicanunong
agreement,n.,"tulag, panagtunos"
agriculture,n.,"panagtalon, panagmula"
ahead,ad.,"immun-una, masanguanan"
aid,n.,"tulong, badang"
aim,n.,"panggep, gandat"
air,n.,angin
airmail,n.,"surat sa maipatulod, babaen ti aeroplano"
airplane,n.,eroplano
aisle,n.,bassit a dalan
alarm,n.,"nariribuc, nawarnacan"
alas,conj.,ay!
alcohol,n.,alcohol
alien,n.,ganggannaet
alienate,v.,"ipaganggannaet, isina"
alight,v.,"bumaba, agdisso"
alignment,n.,pakikipanig
alike,adj.,"agpada, agcarupa, agcaingas"
alive,adj.,"sibibiag, nasaranta"
all,pron.,amin
allegiance,n.,"panagtalec, panagrucbab"
alligator,n.,buaya
allow,v.,"palubosan, palugodan"
ally,n.,"cadua, gayyem"
almighty,n.,Mannacamalin Amin
almost,adv.,"nagistayan, dandani"
alone,adj.,agmay-maysa
aloud,adv.,napigsa a timec wenno ania man a mangted iti mangngeg
alphabet,n.,dagiti letra manipud a inggana iti z
already,adv.,en (suffix) sacbay ti masinunuo a canito
also,adv.,met
altar,n.,altar
although,conj.,"nupay, uray"
altitude,n.,cangato
altogether,adv.,"isu-amin, sapasap"
always,adv.,agnanayon
am,v.,siac
amaze,v.,"butngen, pagsidaawen"
ambassador,n.,"embajador, pananacabagi ti maysa a pagilian"
ambition,n.,tarigagay
amend,v.,"baliwan, paburaen"
amiration,n.,panagdayaw
among,prep.,cadagiti
amount,v.,"dagup, gatad"
ample,adj.,"adu, aumdas, dackel"
amulet,n.,anting-anting
amusement,n.,pagragsacan
ancestor,n.,immuna a caputotan
anchor,v.,sumanglad
ancient,adj.,"daan, ugma"
and,conj.,"ken, ket"
angelus,n.,oracion
anger,n.,"unget, pungtot"
anguish,n.,"sakit, rigat"
animal,n.,"animal, ayup"
ankle,n.,n lipay-lipay (palay-palay)
anniversary,n.,"panagtawen, aniversario"
announce,v.,"ipacaammo, iwarnac"
annoy,v.,"riribuken, singaen"
annual,n.,tinawen
another,n.,"maysa pay, sabali"
answer,n.,sungbat
ant,n.,cuton
anus,n.,ubet
anxiety,n.,"iliw, gagar"
anxious,adj.,"maducotan, nagagar, mailiw"
anybody,adv.,siasino man
anybody,pron.,sia-sino man
anyone,pron.,"siasino man, uray asino"
anything,n.,"uray ania, ania man"
anyway,adv.,"no casta, uray casta, uray pay"
anywhere,adv.,uray sadino man
apart,adv.,"maipusing, maisina"
apartment,n.,"silid, paabangan a siled"
apiece,adv.,iti maysa
apparatus,n.,"ramramit, casapulan"
apparently,adv.,"nalawag, agparang"
apparition,n.,al-allia
appeal,v.,"agdawat, agkiddaw"
appear,v.,"nagpakita, lumgac"
appearance,n.,langa
application,n.,"panagtarigagay, panangipacat"
apply,v.,"agtarigagay, ipacat"
appoint,v.,"dutoken, dutocan"
appointment,n.,pannacadutoc
appreciate,v.,"idayaw, dayawen, bigbigen ti pategna"
appreciation,n.,"panagdayar, panangbibig iti pategna"
apprentice,n.,"agdadamo, catulongan"
approach,v.,"asitgan, umasideg"
approve,v.,anamongan
apricot,n.,bunga ti cayo
apron,n.,bidang
arbor,n.,cayo
arch,n.,arco
archipelago,n.,purpuro
architect,n.,arquitecto
ardor,n.,"pudot, regget"
are,v.,verbo auxiliar (adu)
area,n.,calawa wenno cadackel ti daga
argue,v.,"sumungbat, pannakisupiat"
argument,n.,"supiat, panagsinnungoat"
arise,v.,"tumacder, bumangon"
arithmetic,n.,aritmetica
armor,n.,"calasag, cabal"
arms,n.,"tacklag, igam"
army,n.,buyot; noldado ti nacion
around,adv.,"aglawlaw, aglicmut"
arrange,v.,urnosen
arrangement,n.,"pannacaurnos, urnos"
arrest,n.,pannacatiliw
arrest,v.,tiliwen
arrival,n.,"idadateng, isasangpet"
arrive,v.,"dumteng, sumangpet"
arrow,n.,pana
art,n.,"ste, laing"
articles,n.,"laco, banag, salaysay"
as,adv.,cas iti
ascend,v.,"sumang-at, umuli"
ascendancy,n.,"panaguli, panagsang-at"
ash,n.,dapo
ashamed,adj.,mabain
ashore,adv.,tacdang
aside,adv.,"maysapay, malacsid"
ask,v.,"damagen, saludsoden"
asleep,adj.,matmaturog
assail,v.,"sabten, darupen"
assault,v.,"busoren, dangran"
assemble,v.,"tipontiponen, ursongen"
assembly,n.,tipon gimong; ummong
assemblyman,n.,"representante, pannacabagi"
assign,v.,"ipaaramid, dutocan"
assignment,n.,"aramiden, trabajo, leccion"
assimilate,v.,anagen
assimilation,n.,pananganag
assist,v.,tulongan
assistance,n.,"tulong, badang"
associate,n.,"cadua, catulongan"
association,n.,"alaen, yarig, acuen"
assume,v.,"alaen, yarig, acuen"
assure,v.,ipanecnec ipatalged
astonish,v.,pagsiddaawen
astonishment,n.,panagsiddaaw
astray,adj.,naisisasi
asylum,n.,hospital dagiti agballa
at,prep.,idlay iti
attach,v.,"isilpo, itipon"
attachment,n.,"panagtipon, ititipon"
attack,v.,"rauten, gubaten"
attain,v.,ragpaten
attainment,n.,"naragpat, pannacaragpat"
attempt,v.,"padasen, gay-aten"
attend,v.,"tabunuan, tamingen"
